Title,Authors,Description,Category,Publisher,Publish Date,Price
James Herriot: The Life of a Country Vet,"By Lord, Graham","In this first full portrait of one of the world's most beloved animal writers, a noted biographer affectionately reveals the man behind the myth, exploring his tragedies and triumphs in intimate detail. 65,000 first printing."," Biography & Autobiography , Medical (incl. Patients)",Da Capo Press,"Monday, September 1, 1997",Price Starting at $4.99
The Lisle Letters: An Abridgement,"By Byrne, Muriel St. Clare (EDT)","In a one-volume abridgement, these sixteenth-century letters paint a magnificent portrait of family life amidst the intrigue, terror, and politics of the court of Henry VIII. The culmination of Lord Lisle's imprisonment in the Tower of London."," History , Europe , Great Britain , General",University of Chicago Press,"Wednesday, June 1, 1983",Price Starting at $4.99
The White Man's Burden: Historical Origins of Racism in the United States (Galaxy Books),"By Jordan, Winthrop D.",," Mathematics , Algebra , General",Oxford University Press,"Tuesday, January 1, 1974",Price Starting at $5.29
WORDS FOR EVERYDAY ANIMALS (Words for Everyday),"By Davenport, Zoe",Introduces children to animals and to the different parts they have," Juvenile Fiction , General",Ticknor & Fields,"Wednesday, March 1, 1995",Price Starting at $17.99
A birthday gift for Mommi,"By Beers, V. Gilbert",,,Victor Books,"Saturday, January 1, 1994",Price Starting at $5.86
Vision: A Personal Call to Create a New World,"By Carey, Ken",," Body, Mind & Spirit , General",HarperOne,"Monday, June 1, 1992",Price Starting at $4.99
"Three Essays: On Liberty, Representative Government, The Subjection of Women","By Mill, John Stuart and Stillinger, Jack (EDT)","The three major essays collected in this volume were written in the latter half of Mill's life (1806-1873) and were quickly accepted into the canon of European political and social thought. Today, when liberty and representative government collide with other principles and when women still experience prejudice, Mill's essays reveal his sense of history, intelligence, and ardent concern for human liberty, and continue to shed light on politics and contemporary society.",,Oxford University Press,"Thursday, January 1, 1976",Price Starting at $6.66
The Mozart Companion a Symposium by leading Mozart Scholar,"By Landon, Harold R.",,,W W Norton & Co Inc,"Saturday, November 1, 1969",Price Starting at $4.99
Joshua and the Children: A Parable,By Joseph F. Girzone,An inspirational story explains how a stranger enters a town in turmoil and appeals to the children to encourage peace and caring,,Collier Books,"Tuesday, October 1, 1991",Price Starting at $5.29
Red Square,"By Smith, Martin Cruz","""Sharply, evocatively written and elaborately plotted...It should find as many friends as did GORKY PARK.""THE WASHINGTON POST BOOK WORLDBack from exile, Arkady Reko returns to find that his country, his Moscow, even his job, are nearly dead. Not so his enemies. Hounded by the Russian mafia, chased by ruthless minions of the newly rich and powerful, and tempted by his great love, Arkady can only hope for escape. Fate, however, has other ideas....A NEW YORK TIMES NOTABLE BOOKA LITERARY GUILD MAIN SELECTIONFrom the Paperback edition."," Fiction , General",Random House,"Thursday, October 1, 1992",Price Starting at $4.99
Buffalo Gordon,"By Lewis, J. P. Sinclair",," History , Military , United States",Forge Books,"Thursday, February 1, 2001",Price Starting at $23.11
Certain Poor Shepherds: A Christmas Tale,"By Thomas, Elizabeth Marshall and Davidson, Andrew (ILT)",," Fiction , General",Simon & Schuster,"Friday, November 1, 1996",Price Starting at $5.29
The New Building Your Mate's Self-Esteem,"By Rainey, Dennis and Rainey, Barbara","Self-esteem is either the crippler or the completer of the marriage relationship, says Dennis Rainey.  From their personal and seminar experiences with thousands of couples, Dennis and Barbara Rainey have found that one of the most vital, yet most often missing, ingredients in a marriage today is the diligent effort on the part of each spouse to build the other's self-esteem."," Family & Relationships , Marriage & Long-Term Relationships",Thomas Nelson,"Saturday, July 1, 1995",Price Starting at $4.99
Rogue Regimes: Terrorism and Proliferation,"By Tanter, Raymond",," Political Science , International Relations , Arms Control",Palgrave Macmillan,"Monday, February 1, 1999",Price Starting at $58.61
"The Abuse Excuse: And Other Cop-Outs, Sob Stories, and Evasions of Responsibility","By Dershowitz, Alan M.","According to renowned defense attorney and Harvard law professor Alan M. Dershowitz, ""abuse excuses"" are enabling people to get away with murder - literally. From the Menendez brothers to Lorena Bobbitt, more and more Americans accused of violent crimes are admitting to the charges, but arguing that they shouldn't be held legally responsible. The reason: they're victims - of an abusive parent, a violent spouse, a traumatic experience, ethnic hatred, society at large, or anything else - who struck back at a real or perceived oppressor. And they couldn't help themselves, they say.In this provocative and important collection of essays, Dershowitz reviews a wide range of recent cases - including those of O. J. Simpson, Tonya Harding, and Woody Allen - and argues that the current vogue in victim defenses is antithetical to the ideals of our constitutional democracy. For Dershowitz, the foundations of American society are individual responsibility and the rule of law. And people who claim to be above the law - whatever the excuse - are no more than vigilantes."," Social Science , General",Little Brown & Co,"Saturday, October 1, 1994",Price Starting at $5.47
Houghton Mifflin Invitations to Literature: Student Anthology Level 1.4 Surprise 1997 (Invitations to Lit 1997),By Hm (COR),," Juvenile Nonfiction , Language Arts , General",Houghton Mifflin,"Tuesday, October 1, 1996",Price Starting at $6.12
The Pharaohs of Ancient Egypt (Megascope Series),"By Derouin, Claire","Young adults will enjoy learning about ancient Egyptian history in this exciting volume containing discussions and illustrations of the early pharaohs and their pyramids and the later pharaohs, who led armies of conquest and expansion. Original.",,Barrons Juveniles,"Wednesday, April 1, 1998",Price Starting at $4.99
1776-1976: Zweihundert Jahre deutsch-amerikanische Beziehungen = two hundred years of German-American relations : eine Dokumentation (German Edition),"By Piltz, Thomas",,,H. Moos,"Wednesday, January 1, 1975",Price Starting at $10.99
Dannybird,By Philip Macht,,,Maxrom Press,"Saturday, January 1, 1983",Price Starting at $4.99
Technical Manual and Dictionary of Classical Ballet (Dover Books on Dance),"By Grant, Gail",," Performing Arts , Dance , Classical & Ballet",Dover Publications,"Friday, January 1, 1982",Price Starting at $7.71
Life and Death in Shanghai,"By Cheng, Nien","This account of the horrors faced by the author during China's Cultural Revolution tells of her arrest, the failed attempts to make her confess to spying, her imprisonment, and the story of her survival"," Biography & Autobiography , Personal Memoirs",Penguin,"Sunday, May 1, 1988",Price Starting at $5.29
100 Favorite Roses (100 Favorite Series),"By Dunn, Teri",," Gardening , Flowers , Annuals",Metro Books,"Monday, May 1, 2000",Price Starting at $5.29
All Around The Town,"By Clark, Mary Higgins","A student obsessed with her English professor is accused of his murder, but can not remember how her fingerprints could possibly have been found at the scene of the crime. 500,000 first printing. Major ad/promo. Lit Guild Main. Tour."," Fiction , Thrillers , Suspense",Simon & Schuster,"Wednesday, January 1, 1992",Price Starting at $4.99
